motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S8	16.18	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S4	16.18	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S6	16.18	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S11	15.67	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S1	15.67	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S10	15.57	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S3	14.27	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S2	13.73	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S5	13.48	tp	0
1-AAAAAAAAAAATA	STREME-1	1.7e-005	S7	13.03	tp	0
#
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S9	18.78	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S1	17.57	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S7	16.57	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S10	15.83	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S11	15.27	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S5	15.12	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S4	14.39	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S8	14.21	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S3	13.52	tp	0
2-AAGAAAGAAGGAA	STREME-2	1.7e-005	S2	12.64	tp	0
#
3-GAAWARGGRAADA	STREME-3	1.7e-005	S9	16.78	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S11	16.68	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S4	16.40	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S10	16.15	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S1	15.61	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S3	15.33	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S5	14.74	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S9	14.14	fp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S7	14.06	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S8	13.24	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S2	12.99	tp	0
3-GAAWARGGRAADA	STREME-3	1.7e-005	S6	8.60	tp	0
#
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S2	17.26	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S7	16.19	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S3	15.19	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S8	14.30	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S4	14.30	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S10	14.05	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S9	13.15	tp	0
4-AAGAAAAAWAAAA	STREME-4	5.2e-004	S5	12.45	tp	0
#
5-YATATATATMTAC	STREME-5	1.9e-003	S7	18.37	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S8	17.68	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S5	17.46	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S10	17.07	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S11	17.01	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S9	16.83	tp	0
5-YATATATATMTAC	STREME-5	1.9e-003	S3	12.89	tp	0
