motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAATTAAKR	STREME-1	2.3e-003	S6	18.00	tp	0
1-AAAAAATTAAKR	STREME-1	2.3e-003	S4	17.48	tp	0
1-AAAAAATTAAKR	STREME-1	2.3e-003	S3	16.54	tp	0
1-AAAAAATTAAKR	STREME-1	2.3e-003	S1	16.47	tp	0
1-AAAAAATTAAKR	STREME-1	2.3e-003	S7	14.23	tp	0
1-AAAAAATTAAKR	STREME-1	2.3e-003	S2	13.97	tp	0
#
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S4	17.21	tp	0
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S6	17.21	tp	0
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S1	12.47	tp	0
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S5	12.36	tp	0
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S3	12.12	tp	0
2-AGAAAAGAAAAA	STREME-2	2.3e-003	S7	10.89	tp	0
#
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S7	17.44	tp	0
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S3	16.63	tp	0
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S4	16.63	tp	0
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S5	16.39	tp	0
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S1	15.78	tp	0
3-GAAAAAGAAWSA	STREME-3	2.3e-003	S2	15.44	tp	0
#
4-ACAAGAGAGAAK	STREME-4	1.0e-002	S7	19.27	tp	0
4-ACAAGAGAGAAK	STREME-4	1.0e-002	S5	18.54	tp	0
4-ACAAGAGAGAAK	STREME-4	1.0e-002	S2	18.30	tp	0
4-ACAAGAGAGAAK	STREME-4	1.0e-002	S4	16.85	tp	0
4-ACAAGAGAGAAK	STREME-4	1.0e-002	S6	6.48	tp	0
#
5-ATTAATYAMAGT	STREME-5	1.0e-002	S4	19.88	tp	0
5-ATTAATYAMAGT	STREME-5	1.0e-002	S2	18.61	tp	0
5-ATTAATYAMAGT	STREME-5	1.0e-002	S6	17.97	tp	0
5-ATTAATYAMAGT	STREME-5	1.0e-002	S7	17.83	tp	0
5-ATTAATYAMAGT	STREME-5	1.0e-002	S5	17.02	tp	0
