motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S8	18.61	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S4	18.33	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S6	16.92	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S5	15.62	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S3	15.54	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S9	14.52	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S1	14.39	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S10	13.38	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S7	13.02	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S11	12.53	tp	0
1-AAAAAAAAAAATAGN	STREME-1	1.4e-006	S2	12.07	tp	0
#
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S2	18.49	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S7	17.65	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S1	16.05	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S3	15.69	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S5	15.69	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S4	14.76	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S10	14.70	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S8	14.17	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S6	13.46	tp	0
2-AAAAGAAAAAWAAAW	STREME-2	1.7e-005	S9	9.03	tp	0
#
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S5	25.95	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S8	22.18	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S4	21.75	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S7	20.09	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S3	19.77	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S6	19.75	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S11	18.76	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S9	11.69	tp	0
3-ACACCCAKACCYCCM	STREME-3	1.1e-004	S1	10.43	tp	0
#
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S9	20.66	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S4	17.86	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S1	17.57	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S2	14.90	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S6	14.35	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S3	13.70	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S8	13.03	tp	0
4-ATAAMACATCDYAAC	STREME-4	5.2e-004	S7	11.31	tp	0
#
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S4	17.88	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S9	17.32	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S8	16.09	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S11	16.09	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S3	15.41	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S7	15.11	tp	0
5-CAAGAAAAAAAWAVY	STREME-5	1.9e-003	S10	15.02	tp	0
